 ________是马克思主义政党建设的基本原则，是我们党的优良传统和政治优势，也是党的十八大以来管党治党的鲜明特征。,组织建党,思想建党,制度建党,作风建党,B
习近平总书记在十八届中央纪委六次全会上强调，全面从严治党，核心是加强党的领导，________。,基础在全面，关键在严，要害在治,基础在严，关键在全面，要害在治,基础在全面，关键在严，要害在严,D、基础在严，关键在治，要害在全面,A
习近平总书记在十八届中央纪委六次全会上指出，领导干部要把________摆在重要位置，廉洁修身、廉洁齐家。,作风建设,廉政建设,思想建设,家风建设,D
2015年6月习近平总书记在十八届中央政治局第二十四次集体学习时的讲话提出，“善除害者察其本，善理疾者绝其源。”铲除不良作风和腐败现象滋生蔓延的土壤，根本上要靠﹍﹍。,道德修养,自我约束,法规制度,人格魅力,C
十八大报告提出，党内的“五大建设”是指,思想建设、政治建设、组织建设、作风建设和制度建设,政治建设、思想建设、文化建设、组织建设和作风建设,思想建设、组织建设、作风建设、反腐倡廉建设和制度建设,文化建设、组织建设、作风建设、反腐倡廉建设和制度建设,C
党的十八大报告提出，要加快形成_________相结合的社会管理机制。,源头治理、动态管理、应急处置,源头治理、动态管理、风险处理,源头预防、动态管理、应急处置,源头治理、综合管理、应急处置,A
下列不属于做好各项工作总的出发点和检验标准的是_______。,有利于发展社会主义社会的生产力,有利于增强社会主义国家的综合国力,有利于党的执政水平提高,有利于提高人民的生活水平,C
查办腐败案件以上级纪委领导为主，目的就是实现纪律检查工作双重领导体制________，实质是要推动落实好党风廉政建设主体责任和监督责任。,具体化程序化制度化,正常化长效化制度化,规范化常态化长效化,具体化正常化长效化,A
关于党风民风社风的关系，_______说法不正确。,民风社风是土壤、是风向标，影响党风,民风社风是关键，决定党风,民风是关键、是前提，决定民风社风,改进作风，必须首先要抓好党风，以党风促民风,B
党的建设要与时俱进、创新发展。把纪律挺在前面，实现标本兼治，必须在_______上不断创新。,组织制度、管理监督,管理制度、执纪方式,基本职能、管理监督,组织制度、执纪方式,A
党章总纲指出：马克思列宁主义揭示了______，它的基本原理是正确的，具有强大的生命力。,共产党执政规律   ,社会主义建设规律,人类社会历史发展规律 ,共产主义发展规律,C
全面提高党的建设科学化水平，全党要增强紧迫感和责任感，牢牢把握的主线是________。,加强党的执政能力建设   ,加强先进性、纯洁性建设,加强反腐倡廉建设,加强党的执政能力建设、先进性和纯洁性建设,D
习近平总书记指出，要把学习弘扬焦裕禄精神作为一条红线贯穿教育实践活动始终，做到________。,深学、对照、践行,笃学、细照、践行,深学、细照、笃行,深学、笃学、细照,C
企业、农村、机关、学校、科研院所、街道社区、社会团体、社会中介组织、人民解放军连队和其他基层单位，凡是有正式党员_________，都应当成立党的基层组织。,三人以上的,五人以上的,十人以上的,二十人以上的,A
街道、乡、镇党的基层委员会和村、社区党组织，领导本地区的工作，_________行政组织、经济组织和群众自治组织充分行使职权。,支持和监督,保证和监督,支持和保证 ,支持和领导,C
国有企业和集体企业中党的基层组织，发挥________作用，围绕企业生产经营开展工作。,政治核心,领导核心,骨干核心,组织核心,A
非公有制企业经济组织中党的基层组织，贯彻党的方针政策，________企业遵守四家的法律法规，领导工会、共青团等群众组织，团结凝聚职工群众，维护各方的合法权益，促进企业健康发展。,领导和监督,服务和引导,指导和监督,引导和监督,D
党的干部是党的事业的骨干，是人民的公仆。党坚持任人唯贤、反对任人唯亲，努力实现干部队伍的_________、年轻化、知识化、专业化。,现代化,革命化,政治化,技术化,B
党的干部必须正确行使人民赋予的权力，依法办事，清正廉洁，勤政为民，以身作则，艰苦朴素，密切联系群众，坚持党的群众路线，自觉地接受党和群众的批评和监督，做到自重、自省、自警、_______，反对官僚主义，反对任何滥用职权、谋求私利的不正之风。,自励,自醒,自爱,自强,A
单位受贿数额在________以上的，应当立案。,5万元,10万元,20万元,30万元,B
巨额财产来源不明罪是指国家工作人员的财产或者支出明显超过合法收入，差额巨大，而本人又不能说明其来源是合法的行为。对于巨额财产来源不明，数额在_______的，应予立案。,5万元以上,10万元以上,20万元以上,30万元以上,D
某省厅领导到你单位调研，出具了相应的公务联系函，并明确要求在你单位用餐。你怎么安排_________。,让办公室同志多准备些好酒好菜,按接待标准安排,邀请市、县分管领导陪同用餐，热闹热闹,为体现接待水平，安排到大酒店,B
党内监督的重点对象是__________。,单位一把手,党的各级领导机关和领导干部，特别是各级领导班子主要负责人,党的各级领导干部,党的各级领导机关,B
教育实践活动要集中解决“四风”问题，具体就是形式主义、官僚主义、享乐主义和_________问题。,党八股,奢靡之风,教条主义,本本主义,B
加强作风建设的核心是___________。,建立健全保障作风的制度,保持党同人民群众的血肉联系,加强对权力的监督,保持共产党人的理想信念,B
违反有关规定在经济实体、_________等单位中兼职，或者经批准兼职但获取薪酬、奖金、津贴等额外利益的，情节较轻的，给予警告或者严重警告处分。,社会团体,私营企业,国有企业,外资企业,A
在所有党的纪律和规矩中，最重要、最根本、最核心、最关键的是_______。,政治纪律和政治规矩,组织纪律和组织规矩,工作纪律和工作规矩,廉政纪律和廉政规矩,A
反腐倡廉工作的国家战略和顶层设计是指__________。,建立健全惩治和预防腐败体系,建立健全公民社会监督程序,建立健全国家法律法规体系,建立健全党员领导干部行为规范,C
各级领导干部都要树立和发扬好的作风，做到“三严三实”，其中，“三实”指的是_________。,计划要实、表达要实、行动要实,谋事要实、创业要实、做人要实,工作要实、做人要实、生活要实,计划要实、实施要实、总结要实,B
习近平总书记在十八届中央纪委五次全会上强调，_______是成文的规矩，一些未明文列入纪律的规矩是不成文的纪律；_______是刚性的规矩，一些未明文列入纪律的规矩是自我约束的纪律。,道德    纪律,道德    规则,纪律    纪律,政策    道德,C
习近平总书记在十八届中央纪委五次全会上强调，广大纪检监察干部要敢于担当、敢于监督、敢于负责，努力成为一支﹍﹍的纪检监察队伍,为民、务实、清廉,忠诚、干净、担当,作风优良、纪律严明,忠诚可靠、精干高效,B
"王岐山同志在十八届中央纪委五次全会上强调，坚持“一案双查”，对违反党的政治纪律和政治规矩、组织纪律，“四风”问题突出、发生顶风违纪问题，出现区域性、系统性腐败案件的地方，部门和单位，既追究_______、_________,又严肃追究领导责任。",直接责任    监督责任,主体责任    监督责任,直接责任    间接责任,主体责任    主要责任,B
习近平总书记强调指出，部署‘两学一做’学习教育，就是要推动党内教育从‘关键少数’向广大党员拓展，从_______教育向_______教育延伸。,集中性、经常性,分散性、集中性,间歇性、经常性,集中性、普遍性,A
